GamePk,GameDate,GameTime,PlayerId,FullName,LastName,BatterStand,Side,Team,Opponent,BattingPosition,PlateAppearances,AtBats,Hits,Bases,Strikeouts,Walks,Singles,Doubles,Triples,HomeRuns,RBIs,Runs,StolenBaseAttempts,StolenBaseSuccesses,PointsDK,PointsFD,HomeRunProbability,HitProbability,StolenBaseProbability
823075,2026-04-12,2:15,678882,Ceddanne Rafaela,Rafaela,R,A,BOS,STL,9,3.956,3.591,0.879,1.288,0.668,0.276,0.617,0.176,0.024,0.062,0.418,0.42,0.181,0.15,6.518,8.398,0.06,0.605,0.142
823075,2026-04-12,2:15,680776,Jarren Duran,Duran,L,A,BOS,STL,3,4.631,4.02,0.961,1.52,0.887,0.501,0.628,0.2,0.042,0.092,0.513,0.569,0.235,0.188,8.239,10.805,0.089,0.649,0.175
823075,2026-04-12,2:15,687363,Victor Scott II,Scott II,L,H,STL,BOS,9,3.568,3.15,0.719,1.061,0.656,0.333,0.489,0.172,0.005,0.054,0.328,0.384,0.271,0.214,6.06,7.844,0.052,0.539,0.193
823075,2026-04-12,2:15,691023,Jordan Walker,Walker,R,H,STL,BOS,4,4.287,3.77,0.9,1.595,1.055,0.429,0.523,0.209,0.018,0.15,0.591,0.534,0.07,0.059,7.662,10.206,0.141,0.624,0.058
823075,2026-04-12,2:15,691785,Marcelo Mayer,Mayer,L,A,BOS,STL,7,4.123,3.616,0.824,1.278,0.873,0.419,0.555,0.17,0.014,0.085,0.441,0.441,0.044,0.036,6.264,8.265,0.082,0.581,0.036
823075,2026-04-12,2:15,695336,Thomas Saggese,Saggese,R,H,STL,BOS,8,3.901,3.508,0.772,1.147,0.866,0.308,0.539,0.163,0.0,0.07,0.4,0.377,0.046,0.04,5.507,7.212,0.068,0.565,0.039
823075,2026-04-12,2:15,701350,Roman Anthony,Anthony,L,A,BOS,STL,1,4.868,3.976,0.918,1.474,0.991,0.803,0.596,0.2,0.011,0.111,0.429,0.633,0.108,0.089,8.162,10.89,0.108,0.631,0.086
823075,2026-04-12,2:15,702332,Caleb Durbin,Durbin,R,A,BOS,STL,2,4.708,4.183,0.991,1.404,0.483,0.422,0.71,0.212,0.007,0.062,0.439,0.533,0.236,0.188,7.6,9.853,0.06,0.648,0.17
823075,2026-04-12,2:15,802139,JJ Wetherholt,Wetherholt,L,H,STL,BOS,1,4.702,4.069,0.834,1.328,0.916,0.526,0.528,0.211,0.0,0.094,0.4,0.562,0.217,0.183,7.475,9.858,0.09,0.594,0.171
823154,2026-04-12,4:10,514888,Jose Altuve,Altuve,R,A,HOU,SEA,3,4.272,3.897,0.854,1.405,0.788,0.269,0.573,0.143,0.008,0.13,0.411,0.426,0.13,0.104,6.532,8.444,0.126,0.593,0.099
823154,2026-04-12,4:10,572233,Christian Walker,Walker,R,A,HOU,SEA,6,4.092,3.703,0.874,1.555,0.995,0.293,0.53,0.173,0.006,0.165,0.474,0.429,0.036,0.029,6.691,8.748,0.154,0.621,0.029
823154,2026-04-12,4:10,621043,Carlos Correa,Correa,R,A,HOU,SEA,4,4.23,3.827,0.933,1.467,0.867,0.296,0.65,0.153,0.008,0.121,0.435,0.434,0.03,0.024,6.449,8.348,0.118,0.635,0.024
823154,2026-04-12,4:10,641487,J.P. Crawford,Crawford,L,H,SEA,HOU,8,3.866,3.138,0.725,1.084,0.733,0.65,0.506,0.142,0.013,0.064,0.327,0.436,0.034,0.028,5.935,7.91,0.062,0.541,0.027
823154,2026-04-12,4:10,647304,Josh Naylor,Naylor,L,H,SEA,HOU,4,4.246,3.822,0.951,1.466,0.676,0.327,0.664,0.17,0.003,0.113,0.514,0.436,0.068,0.058,6.841,8.919,0.109,0.651,0.056
823154,2026-04-12,4:10,663728,Cal Raleigh,Raleigh,S,H,SEA,HOU,2,4.495,3.71,0.766,1.593,1.304,0.697,0.383,0.158,0.005,0.219,0.601,0.585,0.042,0.036,8.122,11.06,0.201,0.559,0.035
823154,2026-04-12,4:10,665161,Jeremy Pena,Pena,R,A,HOU,SEA,1,4.599,4.262,0.967,1.586,0.952,0.233,0.66,0.148,0.009,0.151,0.381,0.507,0.142,0.114,7.113,9.099,0.142,0.652,0.106
823154,2026-04-12,4:10,668227,Randy Arozarena,Arozarena,R,H,SEA,HOU,5,4.171,3.491,0.752,1.197,1.137,0.6,0.519,0.123,0.009,0.101,0.427,0.467,0.172,0.139,6.938,9.212,0.098,0.565,0.129
823154,2026-04-12,4:10,670042,Luke Raley,Raley,L,H,SEA,HOU,6,4.131,3.581,0.73,1.348,1.361,0.478,0.438,0.127,0.003,0.161,0.505,0.455,0.065,0.05,6.716,9.002,0.152,0.534,0.048
823154,2026-04-12,4:10,670541,Yordan Alvarez,Alvarez,L,A,HOU,SEA,2,4.439,3.907,0.944,1.736,0.867,0.431,0.56,0.174,0.009,0.2,0.473,0.533,0.033,0.026,7.63,10.02,0.186,0.641,0.025
