Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
127566-119345,SS,Jeremy,Jeremy Pena,Pena,11.2047998046875,125,3400,LAA@HOU,HOU,LAA,,,,,,SS/UTIL
127566-82654,SS/3B,Bo,Bo Bichette,Bichette,11.256849315068493,146,3400,PIT@NYM,NYM,PIT,,,,,,3B/SS/UTIL
127566-52158,SS,Trevor,Trevor Story,Story,11.094374847412109,160,3400,BOS@CIN,BOS,CIN,,,,,,SS/UTIL
127566-21609,OF,Christian,Christian Yelich,Yelich,11.174213529382861,159,3400,CWS@MIL,MIL,CWS,,,,,,OF/UTIL
127566-146704,OF,Pete,Pete Crow-Armstrong,Crow-Armstrong,11.116363340435607,165,3400,WSH@CHC,CHC,WSH,,,,,,OF/UTIL
127566-119311,OF,Jarren,Jarren Duran,Duran,11.00250015258789,160,3300,BOS@CIN,BOS,CIN,,,,,,OF/UTIL
127566-119343,OF,Riley,Riley Greene,Greene,10.721818033854166,165,3300,DET@SD,DET,SD,,,,,,OF/UTIL
127566-119352,1B,Michael,Michael Busch,Busch,10.474846775546396,163,3300,WSH@CHC,CHC,WSH,,,,,,C/1B/UTIL
127566-119410,SS,CJ,CJ Abrams,Abrams,11.086111280653212,144,3300,WSH@CHC,WSH,CHC,,,,,,SS/UTIL
127566-12933,OF,Mike,Mike Trout,Trout,10.373845966045673,130,3300,LAA@HOU,LAA,HOU,,,,,,OF/UTIL
127566-21633,3B,Eugenio,Eugenio Suarez,Suarez,11.426900584795321,171,3300,BOS@CIN,CIN,BOS,,,,,,3B/UTIL
127566-79151,OF,Taylor,Taylor Ward,Ward,10.947133446954618,157,3300,MIN@BAL,BAL,MIN,,,,,,OF/UTIL
127566-222785,2B,Luke,Luke Keaschall,Keaschall,11.775510204081632,49,3300,MIN@BAL,MIN,BAL,,,,,,2B/UTIL
127566-165666,OF,Jackson,Jackson Merrill,Merrill,10.03135551840572,118,3300,DET@SD,SD,DET,,,,,,OF/UTIL
127566-198526,OF,Wyatt,Wyatt Langford,Langford,10.862686384969683,134,3300,TEX@PHI,TEX,PHI,,,,,,OF/UTIL
127566-14562,2B/OF,Jose,Jose Altuve,Altuve,9.932258064516128,155,3200,LAA@HOU,HOU,LAA,,,,,,2B/OF/UTIL
127566-119420,C/OF,Ivan,Ivan Herrera,Herrera,10.895327559141355,107,3200,TB@STL,STL,TB,,,,,,C/1B/OF/UTIL
127566-68522,3B,Alex,Alex Bregman,Bregman,10.532479049813034,117,3200,WSH@CHC,CHC,WSH,,,,,,3B/UTIL
127566-165535,SS,Colson,Colson Montgomery,Montgomery,11.494365853323064,71,3200,CWS@MIL,CWS,MIL,,,,,2,SS/UTIL
127566-102284,C,William,William Contreras,Contreras,10.102516030365566,159,3200,CWS@MIL,MIL,CWS,,,,,,C/1B/UTIL
127566-17097,OF,Brandon,Brandon Nimmo,Nimmo,10.310967426915322,155,3100,TEX@PHI,TEX,PHI,,,,,,OF/UTIL
127566-82734,OF,Luis,Luis Robert Jr.,Robert Jr.,9.935454767400568,110,3100,PIT@NYM,NYM,PIT,,,,,,OF/UTIL
127566-185300,SS,Zach,Zach Neto,Neto,11.643750190734863,128,3100,LAA@HOU,LAA,HOU,,,,,,SS/UTIL
127566-79092,OF,Ian,Ian Happ,Happ,10.344936708860759,158,3100,WSH@CHC,CHC,WSH,,,,,,OF/UTIL
127566-79120,1B,Yandy,Yandy Diaz,Diaz,10.622000325520833,150,3100,TB@STL,TB,STL,,,,,,C/1B/UTIL
127566-102353,2B,Brice,Brice Turang,Turang,10.610909386837122,165,3100,CWS@MIL,MIL,CWS,,,,,,2B/UTIL
127566-176691,OF,Kerry,Kerry Carpenter,Carpenter,9.108695652173912,138,3000,DET@SD,DET,SD,,,,,,OF/UTIL
127566-82574,3B,Isaac,Isaac Paredes,Paredes,10.275489956724877,102,3000,LAA@HOU,HOU,LAA,,,,,,3B/UTIL
127566-17086,OF,Marcell,Marcell Ozuna,Ozuna,9.049654835668104,145,3000,PIT@NYM,PIT,NYM,,,,,,OF/UTIL
127566-68588,2B,Gleyber,Gleyber Torres,Torres,9.684313406352125,153,3000,DET@SD,DET,SD,,,,,,2B/UTIL
127566-83155,OF,Ramon,Ramon Laureano,Laureano,10.192424427379262,132,3000,DET@SD,SD,DET,,,,,,OF/UTIL
127566-38218,1B,Christian,Christian Walker,Walker,9.340259898792613,154,3000,LAA@HOU,HOU,LAA,,,,,,C/1B/UTIL
127566-21887,C/1B,Willson,Willson Contreras,Contreras,10.311111111111112,135,3000,BOS@CIN,BOS,CIN,,,,,,C/1B/UTIL
127566-85504,2B,Brandon,Brandon Lowe,Lowe,10.502239170359141,134,3000,PIT@NYM,PIT,NYM,,,,,,2B/UTIL
127566-163662,1B,Jonathan,Jonathan Aranda,Aranda,10.18113161482901,106,3000,TB@STL,TB,STL,,,,,,C/1B/UTIL
